entry,core_list_neg,core_list_pos,integrated_list_neg,integrated_list_pos,in_karta_slov,in_rusentilex,in_kfu,in_polsentilex,karta_slov_polarity,karta_slov_valence,"rusentilex_polarity
(""depends"" means this word has different valences in original RuSentiLex)",rusentilex_objectivity,score_kfu,average_rate_polsentilex,intensity_norm_polsentilex,polarity_polsentilex,is_generated_adverb_from_adjective,valence_consensus_between_4_lists
бедуин,,,,,1,0,0,0,neutral,0.01,,,,,,,0,unique
бедуинский,,,,,1,0,0,0,neutral,-0.07,,,,,,,0,unique
разоблачительный,,,1,,1,1,1,1,neutral,0.37,negative,fact,0.521,0,0,neutral,0,conflict
бежевый,,,,,1,0,1,0,neutral,0.18,,,0.484,,,,0,conflict
беженец,1,,1,,1,0,1,1,negative,-0.56,,,0.378,-1,-0.5,negative,0,agree
выболтать,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безаварийный,,,,,1,0,0,0,positive,0.92,,,,,,,0,unique
безадресно,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
безалаберность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.481,,,,0,agree
безалаберный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.43,-1,-0.5,negative,0,agree
безалкогольный,,,,,1,0,0,0,neutral,0.44,,,,,,,0,unique
ревностно,,,1,,1,1,1,1,negative,-0.82,neutral,,0.824,-1,-0.5,negative,1,conflict
безапелляционно,1,,1,,1,1,1,0,negative,-0.35,negative,opinion,0.627,,,,1,conflict
безапелляционный,1,,1,,1,1,1,0,negative,-0.35,negative,opinion,0.627,,,,0,conflict
выламывать,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безбедно,,1,,1,1,1,1,0,positive,0.97,positive,opinion,0.588,,,,1,conflict
безбедный,,1,,1,1,1,1,0,positive,0.97,positive,opinion,0.588,,,,0,conflict
безбилетник,1,,1,,1,1,1,0,negative,-0.99,negative,fact,0.346,,,,0,agree
безбилетница,1,,1,,1,1,1,0,negative,-1,negative,fact,0.35,,,,0,agree
выманивать,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
вымерзать,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
выметаться,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безбожно,1,,1,,1,1,1,1,negative,-0.88,negative,,0.357,-1,-0.5,negative,1,agree
безбожный,1,,1,,1,1,1,1,negative,-0.88,negative,,0.357,-1,-0.5,negative,0,agree
безболезненно,,,,1,1,0,0,1,positive,0.89,,,,0,0,neutral,1,conflict
безболезненность,,,,,1,0,0,0,positive,0.74,,,,,,,0,unique
безболезненный,,,,1,1,0,0,1,positive,0.89,,,,0,0,neutral,0,conflict
безбородый,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
безбоязненно,,1,,1,1,1,1,0,positive,0.65,positive,opinion,0.661,,,,1,conflict
безбоязненность,,1,,1,1,1,1,0,positive,0.83,positive,opinion,0.678,,,,0,conflict
безбоязненный,,1,,1,1,1,1,0,positive,0.65,positive,opinion,0.661,,,,0,conflict
безбрачие,,,,,1,0,0,0,neutral,-0.19,,,,,,,0,unique
безбрачный,,,,,1,0,0,0,neutral,-0.03,,,,,,,0,unique
вымучивать,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безбрежный,,,,,1,0,0,1,neutral,-0.18,,,,0,0,neutral,0,agree
безбровый,,,,,1,0,0,0,neutral,-0.21,,,,,,,0,unique
безверие,1,,1,,1,1,1,0,negative,-0.52,negative,feeling,0.341,,,,0,agree
ревностный,,,1,,1,1,1,1,negative,-0.82,neutral,,0.824,-1,-0.5,negative,0,conflict
выпереть,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
самоуверенно,,,1,,1,1,1,1,positive,0.56,negative,opinion,0.534,-1,-0.5,negative,1,conflict
безветренный,,,,,1,0,0,0,neutral,0.19,,,,,,,0,unique
безветрие,,,,,1,0,0,0,neutral,0.14,,,,,,,0,unique
безвизовый,,,,,1,0,0,0,neutral,0.37,,,,,,,0,unique
безвинно,,1,,1,1,1,1,1,positive,0.74,positive,opinion,0.54,0,0,neutral,1,conflict
безвинность,,,,,1,1,1,0,positive,0.7,positive,opinion,0.445,,,,0,conflict
безвинный,,1,,1,1,1,1,1,positive,0.74,positive,opinion,0.54,0,0,neutral,0,conflict
безвкусие,1,,1,,1,1,1,0,negative,-0.78,negative,opinion,0.568,,,,0,conflict
безвкусица,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.569,,,,0,conflict
безвкусно,1,,1,,1,1,1,1,negative,-0.52,negative,,0.655,-1,-0.5,negative,1,conflict
безвкусный,1,,1,,1,1,1,1,negative,-0.52,negative,,0.655,-1,-0.5,negative,0,conflict
безвластие,1,,1,,1,1,1,0,negative,-0.86,negative,fact,0.306,,,,0,agree
безводный,,,,,1,0,0,0,neutral,-0.31,,,,,,,0,unique
самоуверенный,,,1,,1,1,1,1,positive,0.56,negative,opinion,0.534,-1,-0.5,negative,0,conflict
выпороть,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
высмеивание,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
высмеять,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безвоздушный,,,,,1,0,0,0,neutral,-0.06,,,,,,,0,unique
безвозмездно,,,,,1,0,1,1,positive,0.78,,,0.629,0,0,neutral,1,conflict
безвозмездный,,,,,1,0,1,1,positive,0.78,,,0.629,0,0,neutral,0,conflict
безволие,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.41,,,,0,agree
безволосый,,,,,1,0,0,0,neutral,-0.31,,,,,,,0,unique
безвольно,1,,1,,1,1,1,1,negative,-0.93,negative,opinion,0.557,-1,-0.5,negative,1,conflict
безвольность,1,,1,,1,1,1,0,negative,-0.94,negative,opinion,0.426,,,,0,agree
безвольный,1,,1,,1,1,1,1,negative,-0.93,negative,opinion,0.557,-1,-0.5,negative,0,conflict
безвредность,,1,,1,1,1,1,0,positive,0.72,positive,opinion,0.635,,,,0,conflict
безвредный,,1,,1,1,1,1,1,positive,0.96,positive,opinion,0.608,1,0.5,positive,0,conflict
безвременно,1,,1,,1,1,1,0,neutral,-0.01,negative,opinion,0.445,,,,1,conflict
сомневаться,,,1,,1,1,1,1,neutral,-0.26,negative,feeling,0.504,0,0,neutral,0,conflict
безвременный,1,,1,,1,1,1,0,neutral,-0.01,negative,opinion,0.445,,,,0,conflict
выхлестать,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
выцыганить,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безвыходность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.452,,,,0,agree
безвыходный,1,,1,,1,1,1,1,negative,-0.89,negative,opinion,0.416,-1,-0.5,negative,0,agree
вяканье,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
вякать,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безгласность,,,,,1,0,0,0,neutral,-0.31,,,,,,,0,unique
вянуть,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безголовость,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.584,,,,0,conflict
безголовый,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.509,,,,0,conflict
гаденыш,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безграмотность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.377,,,,0,agree
безграмотный,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.332,,,,0,agree
безгранично,,1,,1,1,0,1,1,neutral,0.1,,,0.865,1,0.5,positive,1,conflict
безграничность,,,,,1,0,0,0,neutral,0.45,,,,,,,0,unique
безграничный,,1,,1,1,0,1,1,neutral,0.1,,,0.865,1,0.5,positive,0,conflict
безгреховный,,,,,1,1,1,0,positive,0.95,positive,opinion,0.484,,,,0,conflict
безгрешность,,1,,1,1,1,1,0,positive,1,positive,opinion,0.6,,,,0,conflict
безгрешный,,1,,1,1,1,1,1,positive,0.99,positive,opinion,0.621,1,0.5,positive,0,conflict
бездарно,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.316,-1,-0.5,negative,1,agree
бездарность,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.349,-2,-1,negative,0,agree
бездарный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.316,-1,-0.5,negative,0,agree
бездарь,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.389,,,,0,agree
бездействие,1,,1,,1,1,1,1,negative,-0.63,negative,fact,0.384,-1,-0.5,negative,0,agree
бездействовать,1,,1,,1,1,1,1,negative,-0.66,negative,fact,0.408,-1,-0.5,negative,0,agree
безделица,1,,1,,1,1,1,0,negative,-0.74,neutral,opinion,0.422,,,,0,conflict
безделка,1,,1,,1,1,1,0,negative,-0.56,neutral,opinion,0.329,,,,0,conflict
безделушка,,,,,1,0,1,0,neutral,0,,,0.431,,,,0,conflict
безделье,1,,1,,1,1,1,0,negative,-0.8,negative,opinion,0.378,,,,0,agree
бездельник,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.322,-1,-0.5,negative,0,agree
бездельница,1,,1,,1,1,1,0,negative,-0.91,negative,opinion,0.418,,,,0,agree
бездельничать,1,,1,,1,1,1,0,negative,-0.93,negative,opinion,0.376,,,,0,agree
гадючий,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безденежный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.407,-1,-0.5,negative,0,agree
безденежье,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.422,,,,0,agree
гадюшник,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
галдение,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
бездефицитный,,,,,1,0,0,0,positive,0.72,,,,,,,0,unique
бездеятельность,1,,1,,1,1,1,0,negative,-0.98,negative,opinion,0.438,,,,0,agree
бездеятельный,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.44,,,,0,agree
бездна,1,,1,,1,0,1,1,negative,-0.45,,,0.384,-1,-0.5,negative,0,agree
бездождье,1,,1,,1,1,1,0,negative,-0.52,negative,fact,0.458,,,,0,agree
бездоказательность,1,,1,,1,1,1,0,negative,-0.39,negative,opinion,0.497,,,,0,agree
бездоказательный,1,,1,,1,1,1,0,negative,-0.47,negative,opinion,0.497,,,,0,agree
бездомность,1,,1,,1,1,1,0,negative,-0.83,negative,fact,0.502,,,,0,conflict
бездомный,1,,1,,1,1,1,0,negative,-0.81,negative,fact,0.394,,,,0,agree
бездонность,,,,,1,0,0,0,neutral,-0.02,,,,,,,0,unique
бездонный,,,,,1,0,1,0,neutral,0,,,0.247,,,,0,conflict
гестаповец,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
бездорожье,1,,1,,1,1,1,0,negative,-0.78,negative,fact,0.616,,,,0,conflict
бездумно,1,,1,,1,1,1,1,negative,-0.88,negative,opinion,0.409,-1,-0.5,negative,1,agree
бездумность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.402,,,,0,agree
бездумный,1,,1,,1,1,1,1,negative,-0.88,negative,opinion,0.409,-1,-0.5,negative,0,agree
гестаповский,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
гинуть,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
бездушие,1,,1,,1,1,1,0,negative,-0.91,negative,opinion,0.4,,,,0,agree
бездушность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.414,,,,0,agree
бездушный,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.376,,,,0,agree
бездымный,,,,,1,0,0,0,neutral,0.15,,,,,,,0,unique
глумливо,,,1,,1,0,0,0,negative,-1,,,,,,,1,unique
безе,,,,,1,0,0,0,neutral,0.38,,,,,,,0,unique
безжалостно,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.389,-2,-1,negative,1,agree
безжалостность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.423,,,,0,agree
безжалостный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.389,-1,-0.5,negative,0,agree
безжизненно,1,,1,,1,1,1,1,negative,-0.95,negative,opinion,0.637,0,0,neutral,1,conflict
безжизненность,1,,1,,1,1,1,0,negative,-0.9,negative,opinion,0.683,,,,0,conflict
безжизненный,1,,1,,1,1,1,1,negative,-0.95,negative,opinion,0.637,0,0,neutral,0,conflict
беззаботно,,1,,1,1,1,1,1,neutral,0.34,positive,opinion,0.816,0,0,neutral,1,conflict
беззаботность,,1,,1,1,1,1,0,neutral,0.34,positive,opinion,0.814,,,,0,conflict
беззаботный,,1,,1,1,1,1,1,neutral,0.34,positive,opinion,0.816,0,0,neutral,0,conflict
беззаветно,,,,1,1,0,0,1,neutral,0.32,,,,1,0.5,positive,1,conflict
беззаветный,,,,1,1,0,0,1,neutral,0.32,,,,1,0.5,positive,0,conflict
беззаконие,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.29,,,,0,agree
глумливый,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
беззаконность,1,,1,,1,1,1,0,negative,-0.95,negative,opinion,0.333,,,,0,agree
беззаконный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.287,-1,-0.5,negative,0,agree
средненький,,,1,,1,1,1,1,neutral,0.06,negative,opinion,0.674,0,0,neutral,0,conflict
стесняться,,,1,,1,1,1,1,neutral,-0.04,negative,feeling,0.513,0,0,neutral,0,conflict
колебаться,,,1,,1,0,1,1,neutral,-0.3,,,0.52,-1,-0.5,negative,0,conflict
беззащитно,1,,1,,1,1,1,1,negative,-0.47,negative,opinion,0.42,-1,-0.5,negative,1,agree
беззащитность,1,,1,,1,1,1,0,negative,-0.76,negative,opinion,0.558,,,,0,conflict
беззащитный,1,,1,,1,1,1,1,negative,-0.47,negative,opinion,0.42,-1,-0.5,negative,0,agree
беззвездный,,,,,1,0,0,0,neutral,0.1,,,,,,,0,unique
беззвучие,,,,,1,0,0,0,neutral,-0.08,,,,,,,0,unique
беззвучно,,,,,1,0,1,1,neutral,0,,,0.738,0,0,neutral,1,conflict
беззвучность,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
беззвучный,,,,,1,0,1,1,neutral,0,,,0.738,0,0,neutral,0,conflict
гневливость,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
беззлобно,,1,,1,1,1,1,0,positive,0.65,positive,opinion,0.661,,,,1,conflict
беззлобность,,1,,1,1,1,1,0,positive,0.93,positive,opinion,0.722,,,,0,agree
беззлобный,,1,,1,1,1,1,0,positive,0.65,positive,opinion,0.661,,,,0,conflict
беззубый,1,,1,,1,0,1,1,negative,-0.72,,,0.668,-1,-0.5,negative,0,conflict
субъективно,,,1,,1,1,1,1,neutral,0.15,negative,opinion,0.649,0,0,neutral,1,conflict
гневливый,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безлистный,,,,,1,0,0,0,neutral,-0.2,,,,,,,0,unique
безличие,,,,,1,0,0,0,neutral,-0.16,,,,,,,0,unique
гниловатый,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безличный,,,,,1,0,0,0,neutral,-0.12,,,,,,,0,unique
безлошадный,,,,,1,0,0,0,neutral,-0.3,,,,,,,0,unique
безлунный,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
субъективный,,,1,,1,1,1,1,neutral,0.15,negative,opinion,0.649,0,0,neutral,0,conflict
гнилье,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
сумрачно,,,1,,1,1,1,1,negative,-0.46,negative,opinion,0.725,0,0,neutral,1,conflict
безлюдье,,,,,1,0,0,0,neutral,-0.3,,,,,,,0,unique
безмерно,,,,,1,0,1,1,neutral,0.04,,,0.712,0,0,neutral,1,conflict
безмерность,,,,,1,0,0,0,neutral,0.14,,,,,,,0,unique
безмерный,,,,,1,0,1,1,neutral,0.04,,,0.712,0,0,neutral,0,conflict
безмозглость,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.6,,,,0,conflict
безмозглый,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.566,-2,-1,negative,0,conflict
безмолвие,,,,,1,0,1,0,neutral,0,,,0.789,,,,0,conflict
безмолвно,,,,,1,0,1,0,neutral,0,,,0.701,,,,1,conflict
безмолвный,,,,,1,0,1,0,neutral,0,,,0.701,,,,0,conflict
безмолвствовать,,,,,1,0,0,0,neutral,-0.07,,,,,,,0,unique
безморозный,,,,,1,0,0,0,neutral,0.23,,,,,,,0,unique
безмятежно,,1,,1,1,1,1,1,positive,0.55,positive,opinion,0.811,1,0.5,positive,1,agree
безмятежность,,1,,1,1,1,1,0,neutral,0.47,positive,opinion,0.787,,,,0,conflict
безмятежный,,1,,1,1,1,1,1,positive,0.55,positive,opinion,0.811,1,0.5,positive,0,agree
безнадега,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.381,-1,-0.5,negative,0,agree
безнадежность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.397,,,,0,agree
безнадежный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.377,-1,-0.5,negative,0,agree
безнадзорность,1,,1,,1,1,1,0,negative,-1,negative,fact,0.361,,,,0,agree
гноить,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безнаказанно,1,,1,,1,1,1,1,negative,-0.95,negative,opinion,0.276,-2,-1,negative,1,agree
безнаказанность,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.324,-1,-0.5,negative,0,agree
безнаказанный,1,,1,,1,1,1,1,negative,-0.95,negative,opinion,0.276,-2,-1,negative,0,agree
безнал,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
безналичный,,,,,1,0,1,0,neutral,-0.13,,,0.555,,,,0,agree
гнойничковый,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
гоп-стоп,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
горлопанить,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безнравственность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.475,,,,0,agree
безнравственный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.429,-1,-0.5,negative,0,agree
безобидно,,1,,1,1,1,1,1,positive,0.64,positive,opinion,0.4,1,0.5,positive,1,conflict
безобидность,,,,,1,1,1,0,positive,0.77,positive,opinion,0.445,,,,0,conflict
безобидный,,1,,1,1,1,1,1,positive,0.64,positive,opinion,0.4,1,0.5,positive,0,conflict
безоблачность,,,,,1,1,1,0,positive,0.61,positive,opinion,0.402,,,,0,conflict
безоблачный,,,,,1,1,1,0,neutral,0.54,positive,,0.391,,,,0,conflict
безобразие,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.41,,,,0,agree
безобразить,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.379,,,,0,agree
безобразник,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.404,,,,0,agree
безобразница,1,,1,,1,1,1,0,negative,-0.91,negative,opinion,0.394,,,,0,agree
безобразничать,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.416,,,,0,agree
безобразно,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.383,-2,-1,negative,1,agree
безобразность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.442,,,,0,agree
безобразный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.383,-2,-1,negative,0,agree
безоглядно,,,,,1,0,0,0,neutral,-0.13,,,,,,,1,unique
безоглядный,,,,,1,0,0,0,neutral,-0.13,,,,,,,0,unique
безоговорочно,,,,,1,0,1,1,neutral,0.33,,,0.686,0,0,neutral,1,agree
безоговорочный,,,,,1,0,1,1,neutral,0.33,,,0.686,0,0,neutral,0,agree
грабительство,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безопасно,,1,,1,1,1,1,1,positive,1,positive,opinion,0.717,2,1,positive,1,agree
безопасность,,1,,1,1,1,1,1,positive,1,positive,opinion,0.739,1,0.5,positive,0,agree
безопасный,,1,,1,1,1,1,1,positive,1,positive,opinion,0.717,1,0.5,positive,0,agree
безоружность,,,,,1,0,0,0,neutral,-0.2,,,,,,,0,unique
сумрачный,,,1,,1,1,1,1,negative,-0.46,negative,opinion,0.725,0,0,neutral,0,conflict
безосновательно,1,,1,,1,1,1,1,negative,-0.65,negative,opinion,0.492,-1,-0.5,negative,1,agree
безосновательность,1,,1,,1,1,1,0,negative,-0.92,negative,opinion,0.422,,,,0,agree
безосновательный,1,,1,,1,1,1,1,negative,-0.65,negative,opinion,0.492,-1,-0.5,negative,0,agree
безостановочно,,,,,1,0,0,0,neutral,0,,,,,,,1,unique
безостановочный,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
безответно,,,1,,1,0,0,1,negative,-0.6,,,,-2,-1,negative,1,agree
греховность,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безответный,,,1,,1,0,0,1,negative,-0.6,,,,-2,-1,negative,0,agree
безответственно,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.495,-1,-0.5,negative,1,agree
безответственность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.454,,,,0,agree
безответственный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.495,-1,-0.5,negative,0,agree
безотказно,,,,,1,1,1,1,neutral,0.43,positive,opinion,0.666,0,0,neutral,1,conflict
безотказность,,,,,1,1,1,0,neutral,-0.28,positive,opinion,0.675,,,,0,conflict
безотказный,,,,,1,1,1,1,neutral,0.43,positive,opinion,0.666,0,0,neutral,0,conflict
безоткатный,,,,,1,0,0,0,neutral,0.37,,,,,,,0,unique
безотлагательно,,,,,1,0,0,1,neutral,0.24,,,,0,0,neutral,1,agree
безотлагательность,,,,,1,0,0,0,neutral,0.37,,,,,,,0,unique
безотлагательный,,,,,1,0,0,1,neutral,0.24,,,,0,0,neutral,0,agree
безотрадность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.543,,,,0,conflict
безотрадный,1,,1,,1,1,1,0,negative,-0.83,negative,opinion,0.582,,,,0,conflict
безотходный,,,,,1,0,0,0,positive,0.8,,,,,,,0,unique
безотцовщина,1,,1,,1,1,1,0,negative,-0.81,negative,opinion,0.572,,,,0,conflict
грешок,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безошибочно,,1,,1,1,1,1,1,positive,1,positive,opinion,0.771,0,0,neutral,1,conflict
безошибочность,,1,,1,1,1,1,0,positive,1,positive,opinion,0.784,,,,0,agree
безошибочный,,1,,1,1,1,1,1,positive,1,positive,opinion,0.771,0,0,neutral,0,conflict
безработица,1,,1,,1,1,1,1,negative,-0.77,negative,fact,0.328,-1,-0.5,negative,0,agree
безрадостно,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.605,-1,-0.5,negative,1,conflict
безрадостность,1,,1,,1,1,1,0,negative,-0.93,negative,opinion,0.56,,,,0,conflict
безрадостный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.605,-1,-0.5,negative,0,conflict
безраздельно,,,,,1,0,0,0,neutral,0,,,,,,,1,unique
безраздельный,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
безразличие,1,,1,,1,1,1,0,negative,-0.67,negative,opinion,0.509,,,,0,conflict
безразлично,1,,1,,1,1,1,1,negative,-0.44,negative,opinion,0.574,-1,-0.5,negative,1,conflict
безразличность,1,,1,,1,1,1,0,negative,-0.55,negative,opinion,0.572,,,,0,conflict
безразличный,1,,1,,1,1,1,1,negative,-0.44,negative,opinion,0.574,-1,-0.5,negative,0,conflict
безразмерный,,,,,1,0,0,0,neutral,0.06,,,,,,,0,unique
безрассудно,,,1,,1,0,0,1,negative,-1,,,,-1,-0.5,negative,1,agree
грустнеть,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безрассудный,1,,1,,1,0,0,1,negative,-1,,,,-1,-0.5,negative,0,agree
грязища,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безрасчетно,,,,,1,0,0,0,neutral,-0.28,,,,,,,0,unique
безрезультатно,1,,1,,1,1,1,1,negative,-0.91,negative,opinion,0.596,-1,-0.5,negative,1,conflict
безрезультатность,1,,1,,1,1,1,0,negative,-0.96,negative,opinion,0.527,,,,0,conflict
безрезультатный,1,,1,,1,1,1,1,negative,-0.91,negative,opinion,0.596,-1,-0.5,negative,0,conflict
безрельсовый,,,,,1,0,0,0,neutral,-0.14,,,,,,,0,unique
безрогий,,,,,1,0,0,0,neutral,-0.1,,,,,,,0,unique
грязнейший,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безропотно,,,,,1,0,0,1,neutral,-0.34,,,,0,0,neutral,1,agree
безропотный,,,,,1,0,0,1,neutral,-0.34,,,,0,0,neutral,0,agree
безрукавка,,,,,1,0,0,0,neutral,0,,,,,,,0,unique
безрукий,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.506,,,,0,conflict
безрукость,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.502,,,,0,conflict
грязнуля,,,1,,1,0,0,0,negative,-1,,,,,,,0,unique
безударный,,,,,1,0,0,0,neutral,0.06,,,,,,,0,unique
безудержно,,,,,1,0,1,1,neutral,0.28,,,0.624,0,0,neutral,1,agree
безудержность,,,,,1,0,0,0,neutral,-0.24,,,,,,,0,unique
безудержный,,,,,1,0,1,1,neutral,0.28,,,0.624,0,0,neutral,0,agree
безукоризненно,,1,,1,1,1,1,1,positive,0.97,positive,opinion,0.832,1,0.5,positive,1,agree
безукоризненность,,1,,1,1,1,1,0,positive,1,positive,opinion,0.796,,,,0,agree
безукоризненный,,1,,1,1,1,1,1,positive,0.97,positive,opinion,0.832,1,0.5,positive,0,agree
безумец,1,,1,,1,1,1,0,negative,-0.9,negative,opinion,0.416,,,,0,agree
безумие,1,,1,,1,1,1,1,negative,-0.86,negative,opinion,0.35,-1,-0.5,negative,0,agree
безумно,1,,1,,1,1,1,0,negative,-0.79,negative,opinion,0.352,,,,1,agree
безумность,1,,1,,1,1,1,0,negative,-0.94,negative,opinion,0.694,,,,0,conflict
безумный,1,,1,,1,1,1,0,negative,-0.79,negative,opinion,0.352,,,,0,agree
безумство,1,,1,,1,1,1,1,negative,-0.79,negative,opinion,0.406,-1,-0.5,negative,0,agree
безумствовать,1,,1,,1,1,1,0,negative,-0.84,negative,opinion,0.438,,,,0,agree
безупречно,,1,,1,1,1,1,1,positive,1,positive,opinion,0.849,2,1,positive,1,agree
безупречность,,1,,1,1,1,1,0,positive,1,positive,opinion,0.807,,,,0,agree
безупречный,,1,,1,1,1,1,1,positive,1,positive,opinion,0.849,1,0.5,positive,0,agree
безусловно,,,,,1,0,1,1,neutral,0.35,,,0.677,0,0,neutral,1,agree
безусловность,,,,,1,0,0,0,neutral,0.05,,,,,,,0,unique
безусловный,,,,,1,0,1,1,neutral,0.35,,,0.677,0,0,neutral,0,agree
безуспешно,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.565,-1,-0.5,negative,1,conflict
безуспешность,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.557,,,,0,conflict
безуспешный,1,,1,,1,1,1,1,negative,-1,negative,opinion,0.565,-1,-0.5,negative,0,conflict
безустанный,,1,,1,1,1,1,0,positive,0.55,positive,opinion,0.718,,,,0,agree
безусый,,,,,1,0,0,0,neutral,-0.01,,,,,,,0,unique
безутешно,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.648,,,,1,conflict
тривиальный,,,1,,1,1,1,1,neutral,-0.17,negative,opinion,0.633,0,0,neutral,0,conflict
безутешный,1,,1,,1,1,1,0,negative,-1,negative,opinion,0.648,,,,0,conflict
безучастие,1,,1,,1,1,1,0,negative,-0.57,negative,opinion,0.516,,,,0,conflict
безучастно,1,,1,,1,1,1,1,negative,-0.51,negative,opinion,0.51,-1,-0.5,negative,1,conflict
безучастность,1,,1,,1,1,1,0,negative,-0.53,negative,opinion,0.59,,,,0,conflict
безучастный,1,,1,,1,1,1,1,negative,-0.51,negative,opinion,0.51,-1,-0.5,negative,0,conflict
